rowid,type,name_pfx,name_first,name_last,role,description,headshot_url,headshot
90,featured,NA,Dan,Held,"Growth Lead, Kraken",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606dfff9bdf822f0d98c64ee_FEEB6ED6-58C7-4054-9DC7-C9409B61A6D4.png,=IMAGE(H91)
91,featured,NA,Stacy,Herbert,"Co-Host, Orange Pill Podcast & Keiser Report",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605235b9f5cf3528953964b3_STACY-HERBERT-HEADSHOT.png,=IMAGE(H92)
92,featured,NA,James,Hilliard,"CTO, Sabra Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e1941896fff_james-hilliard.jpg,=IMAGE(H93)
93,featured,NA,Guy,Hirsch,"US Managing Director, eToro",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a568711b79c485f3b37d91_D436DD32-F7F2-4FBD-87C8-63C440C9ACAE.jpeg,=IMAGE(H94)
94,featured,NA,Frank,Holmes,"CEO, Hive Blockchain",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609352db9f9ba2304c26d573_A0FBF860-88FE-4CFC-B0C3-8F2FD0B852BA.jpeg,=IMAGE(H95)
95,featured,NA,Jeff,Horowitz,"Chief Compliance Officer, BitGo",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60887e2d1d1023e71f8207a0_9FA82EFE-1139-4950-B613-A5152674DA5D.jpeg,=IMAGE(H96)
96,featured,NA,Derar,Islim,"COO, Genesis",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080f0e979acc032910197f3_22173C47-C3E9-4D9F-8A85-96717280A41D.jpeg,=IMAGE(H97)
97,featured,NA,Isaiah,Jackson,"Author, Bitcoin and Black America",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f724682e5bff4ec95bd310b_isaiah.JPG,=IMAGE(H98)
98,featured,NA,Jamal,James,"Lead Frontend Engineer, Lightning Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6058e1845693a248fed5df23_1E66FEBE-43E3-45E3-92A7-42D8ED3A82A0.jpeg,=IMAGE(H99)
99,featured,NA,Mason,Jappa,"CEO, Blockware Solutions",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/603e7e79cc4eaa10e364e18d_Mason%2BHeadshot%20(1).jpg,=IMAGE(H100)
100,featured,NA,Alice Marie,Johnson,"CEO, Taking Action for Good",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b50f6946ae4b3455b584e_A92AFCB6-BD0B-40F9-98C6-53131684F4F4.jpeg,=IMAGE(H101)
101,featured,NA,Max,Keiser,"Co-Host, Orange Pill Podcast & Keiser Report",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605235946e99a8a8231eada8_Screen%20Shot%202021-03-17%20at%2011.59.53%20AM.png,=IMAGE(H102)
102,featured,NA,Jeff,Kilburg,"Partner at Valkyrie, CIO of Sanctuary Wealth",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a1cc00613973458cd6c209_1E6BACF5-328E-49D7-AE52-ED3326CB6489.jpeg,=IMAGE(H103)
103,featured,NA,Alyse,Killeen,"Founder & Managing Partner, Stillmark",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60936c5db91a197bd7bd011e_9B961488-5ED7-45E5-B8B9-777F40C89F49.jpeg,=IMAGE(H104)
104,featured,NA,Mike,Kirillov,"Unbank Yourself, Hito Wallet",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6074939b38750a366055aef4_2463DED4-4CA6-4FCE-8A06-3032084CCCBC.jpeg,=IMAGE(H105)
105,featured,NA,Cory,Klippsten,"CEO, Swan Bitcoin",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e805f897050_CoryKlippsten.jpeg,=IMAGE(H106)
106,featured,NA,Sergej,Kotliar,"Founder & CEO, Bitrefill",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e46e1897195_SergejKotliar.jpg,=IMAGE(H107)
107,featured,NA,Graham,Krizek,"CEO, Voltage",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60770f820c3c661e5ffb07ff_E2C85034-CC52-43F2-95CD-6608555D6070.jpeg,=IMAGE(H108)
108,featured,NA,Oswaldo,Lairet,"Founder & CEO, Sequoian.com and PPX.ai",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052345aa7c687a419085666_Oswaldo%20Lairet%202020-.jpg,=IMAGE(H109)
109,featured,NA,Christian,Langalis,TLON,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605381ab59e38c9e7f200751_CE6140BD-FFA3-4BF8-9EA0-B01E17266B1D.png,=IMAGE(H110)
110,featured,NA,Thibaut,Le Guilly,"Technical Lead, Crypto Garage",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605231caa7ad19275b62fa63_DSC_2439%20(1).jpg,=IMAGE(H111)
111,featured,NA,Steve,Lee,"Product Director, Square Crypto",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ef72c896f76_SteveLee.jpg,=IMAGE(H112)
112,featured,NA,Nimrod,Lehavi,"Co-founder and CEO, Simplex",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f50162cc706812fc52c37_Nimrod%20Lehavi%2C%20CEO%20Simplex.jpg,=IMAGE(H113)
113,featured,NA,Hailey,Lennon,"Partner, Anderson Kill Law Firm",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ac5a3c8e60218969e5_HaileyLennon.jpeg,=IMAGE(H114)
114,featured,NA,Tracy,Leparulo,"Head of Marketing, Zytara",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60aa716ff4b70123f81c1ecf_Tracy%20Leparulo%20Headshot1.jpg,=IMAGE(H115)
115,featured,NA,Jason,Les,"CEO, Riot Blockchain",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6093520e9d6d8862c875d5b1_D8AD5D48-365C-420C-B02F-7E2D74F11288.jpeg,=IMAGE(H116)
116,featured,NA,Parker,Lewis,"Head of Business Development, Unchained Capital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e040f89704c_ParkerLewis.jpg,=IMAGE(H117)
117,featured,NA,Larry,Li,Advisor of SAI,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60ae9960d893a4031c368a06_Picture1.png,=IMAGE(H118)
118,featured,NA,Kevin,Loaec,"CEO & Co-founder, Revault",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6058e7d477317a597b712ef7_693D8014-F210-4014-81B3-1A8B55391C4B.png,=IMAGE(H119)
119,featured,NA,Chase,Lochmiller,"CEO & Co-Founder, Crusoe Energy",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606f6029f6ed1da00ac2568c_E09BB060-3C88-438A-8CA1-4CEE4DE03539.jpeg,=IMAGE(H120)
120,featured,NA,Trey,Lockerbie,"Host, We Study Billionaires Podcast",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052a5d87d57d22d01a3f184_9A02A1A9-55D8-4643-A040-2DB84D77E2CF.jpeg,=IMAGE(H121)
121,featured,NA,Caitlin,Long,"Co-Founder & CEO, Avanti",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e92e589705a_CaitlinLong.png,=IMAGE(H122)
122,featured,NA,Ryan,Louvar,"General Counsel, WisdomTree",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080ee07267dae81f8a5d59c_2F5CD3C3-F181-4F7C-B4E2-0619C240FA06.jpeg,=IMAGE(H123)
123,featured,NA,Alejandro,Machado,"Co-Founder, Open Money Initiative",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b058ccc822a6d36c0d521_864A5398-87C3-4BD5-87E6-643ADE8FAAF7.jpeg,=IMAGE(H124)
124,featured,NA,Jack,Mallers,"Founder, Zap",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f60da1ee325426ee4ecfcc6_IMG_0252.JPG,=IMAGE(H125)
125,featured,NA,Alex,Mashinsky,"CEO, Celsius Network",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8eaa39896faa_AlexHeadshot.jpg,=IMAGE(H126)
126,featured,NA,Steven,McClurg,"Chief Investment Officer, Valkyrie",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60b00d1d0ec9194f2c9f98e0_image%20(8).png,=IMAGE(H127)
127,featured,NA,Peter,McCormack,"Host, What Bitcoin Did",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e06c0897043_PeterMcCormack.png,=IMAGE(H128)
128,featured,NA,David,Mercer,"CEO, LMAX Group",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607eef1daaf33e5a9a454c09_David-Mercer.png,=IMAGE(H129)
129,featured,NA,Kalin,Metodiev,CFA - Co-founder and Managing Partner at Nexo,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60b129f81fe6532212ebf5a1_KM%20(1).jpeg,=IMAGE(H130)
130,featured,NA,Diogo,Mónica,"Co-Founder & President, Anchorage",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f4e867ed360246ef591e6_2B6978B4-9639-45AE-8D42-7BD2AC81AA22.jpeg,=IMAGE(H131)
131,featured,NA,Pavel,Moravec,"Co-Founder, Braiins / Slushpool",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b53b0d6d3a1bf0207802e_09336397-E610-4333-A7B1-56986E89D6D2.jpeg,=IMAGE(H132)
132,featured,NA,Brian,Murray,"Managing Director, Craft Ventures",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605b92a3453ae50caab8bfbb_92BF3036-3380-4BF3-B114-C709977DEE89.jpeg,=IMAGE(H133)
133,featured,NA,Lawrence,Nahum,"Chief Architect, Blockstream",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6058e0a345d39a567158372a_8E89EAE8-39EE-4281-AA60-E46AF2FFFAC0.jpeg,=IMAGE(H134)
134,featured,NA,Lisa,Neigut,"Lightning Developer, Blockstream",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6064d85bfc4452003ca5d48c_E3FD7C59-B65C-4778-A316-E967E973D7E0.jpeg,=IMAGE(H135)
135,featured,NA,Nick,Neuman,"CEO & Co-founder, Casa",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/603e7efa706e477f388f2a09_neuman-headshot-square.jpeg,=IMAGE(H136)
136,featured,NA,Mike,Novogratz,CEO of Galaxy Investment Partners,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605236bc93e92afd374874b1_Novogratz%2C%20Michael%20-%20Headshot%201%20-%20November%202019.jpg,=IMAGE(H137)
137,featured,NA,Lucas,Nuzzi,"Network Data PM, Coin Metrics",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6078c12f3258119d79835bbf_B1EB2989-5D3F-4648-BC6A-A5118FD0BF79.jpeg,=IMAGE(H138)
138,featured,NA,Matt,Odell,Bitcoin & Privacy Advocate,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ed133897026_Matt%20Odell.jpeg,=IMAGE(H139)
139,featured,NA,Olaoluwa,Osuntokun,"CTO, Lightning Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6064d7f264317d860fe73c1d_10EDB708-81B4-4E82-8264-0248767BA9E6.jpeg,=IMAGE(H140)
140,featured,NA,Dave,Perrill,"CEO & Founder, Compute North",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f2a875e6adb8f58108a3d_DDFE0FAC-B419-45C1-A911-1C5E78C0B237.jpeg,=IMAGE(H141)
141,featured,NA,Ben,Perrin,"Host, BTC Sessions",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6078bef3ec945d9132ae0d04_668B5453-49D5-4619-ADF3-19C735AEC532.jpeg,=IMAGE(H142)
142,featured,NA,Andrew,Poelstra,"Director of Research, Blockstream",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e40c3896b6e_andrew%20poelestra.png,=IMAGE(H143)
143,featured,NA,Anthony,Pompliano,"Founder & Partner, Morgan Creek Digital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e15f8896aa0_Anthony%20Pompliano.jpg,=IMAGE(H144)
144,featured,NA,Francis,Pouliot,"CEO, Bull Bitcoin",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6061ed639c1b34ede126d104_CFAF2C01-F396-4769-8948-70B744AE39CF.jpeg,=IMAGE(H145)
145,featured,NA,Ben,Prentice,"Co-Founder, WTF Happened in 1971",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b03a4bf40a6f2df1ff7a5_5CEDB3E5-7C49-4985-A166-1ED4B1CBBF93.jpeg,=IMAGE(H146)
146,featured,NA,Ben,Price,,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b52a0ca61bc0455fdf81c_CF2ED567-FA27-40DD-BD4B-1482ADDF0B17.jpeg,=IMAGE(H147)
147,featured,NA,Jesse,Proudman,"CEO & Co-Founder, Makara",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60936b970184be0cbfe30817_9FB20E7C-428D-4EDB-A482-AEB889200F71.jpeg,=IMAGE(H148)
148,featured,NA,Scott,Purcell,"Founder & CEO, PrimeTrust",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6093500734dafc47c299a41a_D7BC1D2B-9AF8-41D7-B8CE-8A50F4666495.jpeg,=IMAGE(H149)
149,featured,NA,James,Putra,"VP of Product Strategy, TradeStation",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a1cbae845233eddb570646_8763BFD3-FD5F-442C-B793-43EAB3893E26.jpeg,=IMAGE(H150)
150,featured,NA,Preston,Pysh,"Co-Founder, The Investors Podcast Network",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052a6ae9be710e5fe4052d1_D0831F40-ECC6-4958-9C67-F65BAB98055E.jpeg,=IMAGE(H151)
151,featured,NA,Will,Reeves,"CEO, Fold",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6078c1a4202b1d34b93177ff_19D79E1A-FD9B-4F6B-9138-AEE41EADB885.jpeg,=IMAGE(H152)
152,featured,NA,Justin,Rezvani,"Founder, N2N2",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6093508dfc478a17f3fe1fb0_A9D32057-0D02-4896-8BC7-0D369480A2CC.jpeg,=IMAGE(H153)
153,featured,NA,Pete,Rizzo,"Editor, Bitcoin Magazine",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e3e8389713b_PeteRizzo.jpg,=IMAGE(H154)
154,featured,NA,Carlos,Roldan,"Founder & CEO, Satoshi's Games",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e14b6897170_CarlosRoldan.JPG,=IMAGE(H155)
155,featured,NA,Hector,Rosekrans,"Director of Client Services, Casa",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608c66a8d94cb17cd98b5852_CFE350CA-4FED-4E65-9258-D047A279ADB2.jpeg,=IMAGE(H156)
156,featured,NA,Rich,Rosenblum,"Co-Founder & President, GSR",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080ef708455b95bf40ec39e_F4BA053B-BDC9-435C-B9FA-13AD6D2066E7.jpeg,=IMAGE(H157)
157,featured,NA,Matthew,Roszak,"Chairman, Bloq",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60b1348b008b346b0eb66fd0_Matthew%20Roszak%20(high%20res).jpg,=IMAGE(H158)
158,featured,NA,Jeremy,Rubin,"Independent Researcher, utxos.org",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e73cd896fbe_jeremyrubin.jpeg,=IMAGE(H159)
159,featured,NA,Marco,Santori,"Chief Legal Officer, Kraken",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60870b8f38af95bbff385390_EF37EAD4-9282-4D2E-B5B4-143BA1F84677.png,=IMAGE(H160)
160,featured,NA,Justin,Schmidt,"Head of Strategy, Talos",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608b852b2c04627326362c50_710F15A4-D447-45E7-B6CE-400EE8B3F33F.png,=IMAGE(H161)
161,featured,NA,Mike,Schmidt,"Co-Founder, Brink",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6078bfdc202b1d17722fb548_94BEDCE9-CAAF-4E03-8B8D-BBF9E61FF89A.jpeg,=IMAGE(H162)
162,featured,NA,Ghazi,Shami,"CEO & Founder, Empire Distribution, Records and Publishing Inc.",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080f966578e9f102d41703d_32D017F8-61F5-491A-BE82-9BA6C0BE17A4.jpeg,=IMAGE(H163)
163,featured,NA,Nishant,Sharma,"Founder & Partner, BlocksBridge Consulting",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606f34a294fbfd1db445a914_AB2C6FC2-D881-4DB7-A20C-326409236974.jpeg,=IMAGE(H164)
164,featured,NA,Charlie,Shrem,"Host, Untold Stories",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f60d9ea5f737e7c1f7c698e_Charlie%20Shrem%201.png,=IMAGE(H165)
165,featured,NA,Peter,Smith,"CEO & Co-Founder, Blockchain.com",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a4145baaa4e20719786c0d_40521_Blockchain_S3_0971.jpg,=IMAGE(H166)
166,featured,NA,Boaz,Sobrado,"Founder, WhyNotCuba.com",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60949774a6b803854652ac40_90B405CA-298F-4BF6-AD78-746C5B4F1DF2.jpeg,=IMAGE(H167)
167,featured,NA,Jimmy,Song,"Instructor, Programming Blockchain",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ac5a3c8edce78968c5_JimmySong.jpeg,=IMAGE(H168)
168,featured,NA,Ivan,Soto-Wright,"CEO & Co-Founder, Moonpay",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60621047901d4d37a69dfed3_2011A67D-7907-45DC-9410-7111CA279CD4.jpeg,=IMAGE(H169)
169,featured,NA,Elizabeth,Stark,"CEO, Lightning Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a6b9ae20770df3a627cb70_671718B8-B1A0-4A04-B221-F8B9AC83657B.jpeg,=IMAGE(H170)
170,featured,NA,Allan,Stevo,"Author, The Bitcoin Manifesto",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605b9583a2c888d62f62636b_D0880B98-AE92-4B74-82E7-59FC94893E56.png,=IMAGE(H171)
171,featured,NA,Mayor Francis,Suarez,Mayor of the City of Miami,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6037eb3827088b3261059dd8_Mayor-Suarez.jpg,=IMAGE(H172)
172,featured,NA,Harry,Sudock,"VP, Strategy, GRIID Infrastructure",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f2c1aa221f34080108ea2_104615A5-3943-43DC-B498-7AA0EE6A4B49.jpeg,=IMAGE(H173)
173,featured,NA,Colleen,Sullivan,"Partner & CEO, CMT Digital Holdings",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f60d9fdfaeeca6e2f18b092_ColleenSullivanHeadshot.jpg,=IMAGE(H174)
174,featured,NA,Aleksandar,Svetski,"CEO, Amber",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60937038731e8e2b7670c127_C5A2906D-BAE0-42A6-986D-CBDDA69C6668.jpeg,=IMAGE(H175)
175,featured,NA,Guy,Swann,"Host, Bitcoin Audible",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f373cf00479c561a83464_4544AC32-13DE-4DB1-913E-5BA650515BBF.jpeg,=IMAGE(H176)
176,featured,NA,Paul,Sztorc,Independent Bitcoiner,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6078c473202b1d222533fce5_E173D32A-1CAD-4503-B663-40401A4EC875.jpeg,=IMAGE(H177)
177,featured,NA,Shiliang,Tang,"CIO, LedgerPrime",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608301e5aad3ae99d3a97b81_F7F2420D-A1DA-4CF6-9964-E7F723383146.jpeg,=IMAGE(H178)
178,featured,NA,Salvatore,Ternullo,Partner at Warburg Serres Investments,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608c4fe5a7c4b41a7c2ccf8d_C8CBACF6-FDB9-4A50-94DF-2D8564404D76.jpeg,=IMAGE(H179)
179,featured,NA,Fred,Thiel,"CEO, Marathon Digital Holdings",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60935174652f63a12553ecdf_CCA0B796-C268-46E5-A97D-843AB070B209.jpeg,=IMAGE(H180)
180,featured,NA,Annemarie,Tierney,"Senior Strategic Advisor, Chamber of Digital Commerce",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052a811be12804481f86854_6E739DCD-34FD-41B7-B9F2-4F4E7C704344.jpeg,=IMAGE(H181)
181,featured,NA,Annemarie,Tierney,"Senior Strategic Advisor, Chamber of Digital Commerce",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052a811be12804481f86854_6E739DCD-34FD-41B7-B9F2-4F4E7C704344.jpeg,=IMAGE(H182)
182,featured,NA,Peter,Todd,Applied Cryptography Consultant,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e4c87897176_Peter%20Todd.jpg,=IMAGE(H183)
183,featured,NA,Jason,Urban,"Global Head of Trading, Galaxy Digital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b5231517d6f34ef91d6e3_C3121266-6CA2-4C19-BD6D-F8AA495325F9.jpeg,=IMAGE(H184)
184,featured,NA,John,Vallis,"Host, Bitcoin Rapid-Fire",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60624deb253050725c1cc66d_15D9D0AB-FE7C-43FD-BF2C-4C13C4DC6AA7.jpeg,=IMAGE(H185)
185,featured,NA,Aaron,van Wirdum,"Technical Editor, Bitcoin Magazine",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ed6d7897016_AaronvanWirdum.jpg,=IMAGE(H186)
186,featured,NA,Paul,Veradittakit,"Partner, Pantera Capital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6078c522325811481284c8be_A0E509E4-D420-48D2-978E-20D8B43779BC.jpeg,=IMAGE(H187)
187,featured,NA,Erik,Voorhees,"CEO, ShapeShift",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605385b04988e7ea854d085f_A7A84518-0A15-432B-A9A7-76EA399A3BDF.jpeg,=IMAGE(H188)
188,featured,NA,Don,Wilson,"Founder & CEO, DRW",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052ae977d663643ea383c01_93383DC2-27E4-4321-93C9-B2B9D112D6BD.jpeg,=IMAGE(H189)
189,featured,NA,Lamar,Wilson,"Founder, Black Bitcoin Billionaires Club & Sunjoined.com",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60620eb389bdad6e821983fd_663778FF-418B-420E-993F-A7E40CDA9B1C.png,=IMAGE(H190)
190,featured,NA,Cameron & Tyler,Winklevoss,"Co-Founders, Gemini",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f41f6d68f516474177619_72C19439-939D-40C3-AB0E-25D15A467185.jpeg,=IMAGE(H191)
191,featured,NA,Edan,Yago,"Early Contributor, Sovryn",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b52fef0e04995562e18fa_FABF5E52-826D-435B-9BEE-9DEB295395C7.jpeg,=IMAGE(H192)
192,featured,NA,Ray,Youssef,"Co-Founder & CEO, Paxful",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/602d7bfb4a228aea8a9d5cbc_Ray%20Youssef%20Co-founder%20CEO%20Paxful%20Headshot.jpg,=IMAGE(H193)
193,featured,NA,Mark,Yusko,"CEO and CIO Morgan Creek Capital Management, Managing Partner, Morgan Creek Digital Assets",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e537f89716e_MarkYusko.jpg,=IMAGE(H194)
194,featured,NA,Kevin,Zhang,"VP of Business Development, Foundry",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a1ca4710ef6c14feff02d4_PNG%20image.png,=IMAGE(H195)
195,featured,NA,Nico,ZM,"Co-Host of Simply Bitcoin, CEO of Bitvolt",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609044712c00cd5777a0806a_E4517742-FAA4-45A5-B4E3-ED41D9E423B8.jpeg,=IMAGE(H196)
